country,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
GHA,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.10810810810810811,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.12162162162162163,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GIN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.13513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GMB,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.21621621621621623,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GNB,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.35135135135135137,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GNQ,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,1.0,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GRC,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.12162162162162163,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.06756756756756757,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GTM,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GUY,0.0,0.0,0.0,0.14864864864864866,1.0,1.0,0.14864864864864866,0.22972972972972974,1.0,1.0,0.0,0.0,0.0,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
HKG,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.24324324324324326,0.14864864864864866,1.0,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
HND,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
HRV,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.6486486486486487,0.14864864864864866,0.581081081081081,0.28378378378378377,0.28378378378378377,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5945945945945946,0.14864864864864866,0.013513513513513514,0.5675675675675675,0.5675675675675675,0.5675675675675675
HTI,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
HUN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.3783783783783784,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
IDN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
