,year,hc,country
886,1996,2.9062201976776123,BEL
887,1997,2.922927141189575,BEL
888,1998,2.939730644226074,BEL
889,1999,2.956630229949951,BEL
890,2000,2.9736270904541016,BEL
891,2001,2.9924190044403076,BEL
892,2002,3.011329412460327,BEL
893,2003,3.0303595066070557,BEL
894,2004,3.0495097637176514,BEL
895,2005,3.0687811374664307,BEL
896,2006,3.0735692977905273,BEL
897,2007,3.078364849090576,BEL
898,2008,3.0831680297851562,BEL
899,2009,3.0879786014556885,BEL
900,2010,3.092796802520752,BEL
901,2011,3.0989954471588135,BEL
902,2012,3.1052064895629883,BEL
903,2013,3.1114299297332764,BEL
904,2014,3.117666006088257,BEL
905,2015,3.1239144802093506,BEL
906,2016,3.1301755905151367,BEL
907,2017,3.136449098587036,BEL
908,2018,3.142735242843628,BEL
909,2019,3.149034023284912,BEL
910,1950,,BEN
911,1951,,BEN
912,1952,,BEN
913,1953,,BEN
914,1954,,BEN
915,1955,,BEN
916,1956,,BEN
917,1957,,BEN
918,1958,,BEN
919,1959,1.0632458925247192,BEN
920,1960,1.065199851989746,BEN
921,1961,1.0692484378814697,BEN
922,1962,1.073312520980835,BEN
923,1963,1.0773921012878418,BEN
924,1964,1.0814870595932007,BEN
925,1965,1.0855976343154907,BEN
926,1966,1.086016058921814,BEN
927,1967,1.0864347219467163,BEN
928,1968,1.0868535041809082,BEN
929,1969,1.0872724056243896,BEN
930,1970,1.0876914262771606,BEN
931,1971,1.0880461931228638,BEN
932,1972,1.0884010791778564,BEN
933,1973,1.0887560844421387,BEN
934,1974,1.0891112089157104,BEN
935,1975,1.0894664525985718,BEN
936,1976,1.089780569076538,BEN
937,1977,1.0900946855545044,BEN
938,1978,1.0904089212417603,BEN
939,1979,1.0907231569290161,BEN
940,1980,1.091037631034851,BEN
941,1981,1.1040362119674683,BEN
942,1982,1.1171897649765015,BEN
943,1983,1.130500078201294,BEN
944,1984,1.143968939781189,BEN
945,1985,1.1575982570648193,BEN
946,1986,1.1741173267364502,BEN
947,1987,1.190872073173523,BEN
948,1988,1.2078659534454346,BEN
949,1989,1.225102424621582,BEN
950,1990,1.2425847053527832,BEN
951,1991,1.2603087425231934,BEN
952,1992,1.2782856225967407,BEN
953,1993,1.2965189218521118,BEN
954,1994,1.3150122165679932,BEN
955,1995,1.3337693214416504,BEN
956,1996,1.3487290143966675,BEN
957,1997,1.363856554031372,BEN
958,1998,1.3791536092758179,BEN
959,1999,1.3946224451065063,BEN
960,2000,1.4102646112442017,BEN
961,2001,1.4235222339630127,BEN
962,2002,1.4369044303894043,BEN
