,country,year,gdp_pc_lag1
1021,BEL,2022,40970.80578330413
1042,BEN,1970,1551.0
1043,BEN,1971,1543.0
1044,BEN,1972,1535.0
1045,BEN,1973,1640.0
1046,BEN,1974,1666.0
1047,BEN,1975,1733.0
1048,BEN,1976,1570.0
1049,BEN,1977,1548.0
1050,BEN,1978,1570.0
1051,BEN,1979,1519.0
1052,BEN,1980,1594.0
1053,BEN,1981,1691.0
1054,BEN,1982,1733.0
1055,BEN,1983,1862.0
1056,BEN,1984,1728.0
1057,BEN,1985,1809.0
1058,BEN,1986,1886.0
1059,BEN,1987,1867.0
1060,BEN,1988,1782.0
1061,BEN,1989,1780.0
1062,BEN,1990,1715.0
1063,BEN,1991,1811.0
1064,BEN,1992,1812.4214692423927
1065,BEN,1993,1790.5300658099543
1066,BEN,1994,1791.963217413003
1067,BEN,1995,1731.8034170712542
1068,BEN,1996,1835.574590644367
1069,BEN,1997,1840.4858440770583
1070,BEN,1998,1867.6058933198424
1071,BEN,1999,1862.755734870101
1072,BEN,2000,1881.6971786275503
1073,BEN,2001,1908.9366209261184
1074,BEN,2002,1928.0966305352736
1075,BEN,2003,1934.3967492016125
1076,BEN,2004,1919.615102673918
1077,BEN,2005,1923.719295390708
1078,BEN,2006,1875.9193239365795
1079,BEN,2007,1870.53250067736
1080,BEN,2008,1904.5495815675115
1081,BEN,2009,1920.306055780088
1082,BEN,2010,1888.7757792278871
1083,BEN,2011,1854.6655707280884
1084,BEN,2012,1836.0
1085,BEN,2013,1867.0
1086,BEN,2014,1939.0
1087,BEN,2015,2008.0
1088,BEN,2016,2055.0
1089,BEN,2017,2061.9035813843857
1090,BEN,2018,2115.586819735045
1091,BEN,2019,2192.261006100744
1092,BEN,2020,2276.103867963354
1093,BEN,2021,2297.769732867594
1094,BEN,2022,2395.166213335109
1115,BOL,1970,3379.0
1116,BOL,1971,3469.0
1117,BOL,1972,3513.0
1118,BOL,1973,3602.0
1119,BOL,1974,3757.0
1120,BOL,1975,3854.0
1121,BOL,1976,4010.0
1122,BOL,1977,4219.0
1123,BOL,1978,4289.0
1124,BOL,1979,4328.0
1125,BOL,1980,4227.0
1126,BOL,1981,4100.0
1127,BOL,1982,4060.0
1128,BOL,1983,3816.0
1129,BOL,1984,3585.0
1130,BOL,1985,3561.0
1131,BOL,1986,3476.0
1132,BOL,1987,3306.0
1133,BOL,1988,3330.0
1134,BOL,1989,3386.0
1135,BOL,1990,3408.0
1136,BOL,1991,3502.0
1137,BOL,1992,3610.05176589269
1138,BOL,1993,3592.136728477069
1139,BOL,1994,3670.2744123593734
1140,BOL,1995,3765.169484651678
1141,BOL,1996,3865.437890859615
1142,BOL,1997,3959.445248904976
1143,BOL,1998,4079.537865918379
1144,BOL,1999,4205.694130849294
1145,BOL,2000,4146.470466698207
1146,BOL,2001,4173.5494556271815
1147,BOL,2002,4166.491663823036
1148,BOL,2003,4193.754879231691
1149,BOL,2004,4230.372476124638
1150,BOL,2005,4330.555773329363
1151,BOL,2006,4445.347739995699
1152,BOL,2007,4581.902166317692
1153,BOL,2008,4713.4483939791435
1154,BOL,2009,4924.032322864974
1155,BOL,2010,5011.33827045302
1156,BOL,2011,5141.758880655595
1157,BOL,2012,5331.0
1158,BOL,2013,5503.90836808894
1159,BOL,2014,5775.751435644671
1160,BOL,2015,5988.277547315212
1161,BOL,2016,6176.26705563787
