,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
19342,URY,1953,,,,,0.2175999879837036,,,2.0,0.782,0.849,1.743553638458252,,1.211,0.077,0.101,0.1
19343,URY,1954,,,0.9960596561431884,,0.2175999879837036,,,2.0,0.782,0.849,1.750904202461243,,1.27,0.077,0.101,0.1
19344,URY,1955,,,0.9520273804664612,,0.2175999879837036,,,2.0,0.785,0.849,1.7582857608795166,,1.295,0.077,0.101,0.1
19345,URY,1956,,,0.9156481623649596,,0.2175999879837036,,,2.0,0.79,0.849,1.7680593729019165,,1.335,0.077,0.101,0.1
19346,URY,1957,,,0.9093367457389832,,0.2175999879837036,,,2.0,0.79,0.848,1.777887225151062,,1.349,0.077,0.101,0.1
19347,URY,1958,,,0.8587191104888916,,0.2175999879837036,,,2.0,0.791,0.848,1.787769794464111,,1.356,0.077,0.101,0.1
19348,URY,1959,,,0.8132379651069641,,0.2175999879837036,,,2.0,0.796,0.848,1.797707200050354,,1.327,0.11,0.101,0.1
19349,URY,1960,8.27586206896552,,0.8258625864982605,56.6,0.2175999879837036,,,2.0,0.796,0.842,1.807699918746948,..,1.284,0.11,0.101,0.1
19350,URY,1961,10.2272727272727,,0.8131186962127686,55.6,0.2175999879837036,,,2.0,0.796,0.842,1.8141664266586304,..,1.237,0.11,0.101,0.1
19351,URY,1962,13.4020618556701,,0.7823609113693237,54.4,0.2175999879837036,,,2.0,0.795,0.842,1.8206560611724856,..,1.189,0.11,0.101,0.1
19352,URY,1963,12.8755364806867,,0.7607043981552124,53.2,0.2175999879837036,,,2.0,0.767,0.842,1.8271689414978027,..,1.148,0.11,0.101,0.1
19353,URY,1964,13.4328358208955,,0.7859210968017578,52.4,0.2175999879837036,,,2.0,0.762,0.842,1.8337050676345823,..,1.082,0.11,0.101,0.1
19354,URY,1965,13.8433515482696,,0.7847339510917664,51.9,0.2175999879837036,,,2.0,0.759,0.841,1.8402645587921145,..,1.017,0.11,0.101,0.1
19355,URY,1966,13.2307692307692,,0.8219267129898071,51.6,0.2175999879837036,,,2.0,0.759,0.847,1.8593552112579343,..,0.949,0.11,0.101,0.1
19356,URY,1967,14.1323792486583,,0.7931147813796997,51.3,0.2175999879837036,,,2.0,0.738,0.846,1.8786438703536987,..,0.863,0.11,0.101,0.1
19357,URY,1968,13.1799729364005,,0.8006550073623657,50.8,0.2175999879837036,,,2.0,0.627,0.765,1.8981326818466189,..,0.765,0.11,0.101,0.1
19358,URY,1969,15.0472741903038,,0.8331353664398193,49.8,0.2175999879837036,,,2.0,0.616,0.765,1.9178236722946167,..,0.636,0.11,0.101,0.1
19359,URY,1970,16.6792452830189,7740.0,0.8512765169143677,48.7,0.2175999879837036,8030.0,2823.659,2.0,0.589,0.712,1.9377188682556152,..,0.574,0.11,0.101,0.1
19360,URY,1971,16.834243033611,8030.0,0.8382808566093445,48.1,0.2175999879837036,7933.0,2826.042,2.0,0.555,0.699,1.9523110389709473,..,0.545,0.11,0.101,0.1
19361,URY,1972,13.0786439511272,7933.0,0.8171774744987488,48.1,0.2175999879837036,7643.0,2829.526,1.0,0.492,0.635,1.9670130014419556,13.6809499225607,0.534,0.11,0.101,0.1
