,year,Tax revenue (% of GDP),country
1116,1965,..,ATG
1117,1965,..,ARG
1118,1965,..,ARM
1119,1965,..,ABW
1120,1965,..,AUS
1121,1965,..,AUT
1122,1965,..,AZE
1123,1965,..,BHS
1124,1965,..,BHR
1125,1965,..,BGD
1126,1965,..,BRB
1127,1965,..,BLR
1128,1965,..,BEL
1129,1965,..,BLZ
1130,1965,..,BEN
1131,1965,..,BMU
1132,1965,..,BTN
1133,1965,..,BOL
1134,1965,..,BIH
1135,1965,..,BWA
1136,1965,..,BRA
1137,1965,..,VGB
1138,1965,..,BRN
1139,1965,..,BGR
1140,1965,..,BFA
1141,1965,..,BDI
1142,1965,..,CPV
1143,1965,..,KHM
1144,1965,..,CMR
1145,1965,..,CAN
1146,1965,..,CYM
1147,1965,..,CAF
1148,1965,..,TCD
1149,1965,..,Channel Islands
1150,1965,..,CHL
1151,1965,..,CHN
1152,1965,..,COL
1153,1965,..,COM
1154,1965,..,COD
1155,1965,..,COG
1156,1965,..,CRI
1157,1965,..,CIV
1158,1965,..,HRV
1159,1965,..,CUB
1160,1965,..,CUW
1161,1965,..,CYP
1162,1965,..,CZE
1163,1965,..,DNK
1164,1965,..,DJI
1165,1965,..,DMA
1166,1965,..,DOM
1167,1965,..,ECU
1168,1965,..,EGY
1169,1965,..,SLV
1170,1965,..,GNQ
1171,1965,..,ERI
1172,1965,..,EST
1173,1965,..,SWZ
1174,1965,..,ETH
1175,1965,..,FRO
1176,1965,..,FJI
1177,1965,..,FIN
1178,1965,..,FRA
1179,1965,..,PYF
1180,1965,..,GAB
1181,1965,..,GMB
1182,1965,..,GEO
1183,1965,..,DEU
1184,1965,..,GHA
1185,1965,..,GIB
1186,1965,..,GRC
1187,1965,..,GRL
1188,1965,..,GRD
1189,1965,..,GUM
1190,1965,..,GTM
1191,1965,..,GIN
1192,1965,..,GNB
1193,1965,..,GUY
1194,1965,..,HTI
1195,1965,..,HND
1196,1965,..,HKG
1197,1965,..,HUN
1198,1965,..,ISL
1199,1965,..,IND
1200,1965,..,IDN
1201,1965,..,IRN
1202,1965,..,IRQ
1203,1965,..,IRL
1204,1965,..,IMN
1205,1965,..,ISR
1206,1965,..,ITA
1207,1965,..,JAM
1208,1965,..,JPN
1209,1965,..,JOR
1210,1965,..,KAZ
1211,1965,..,KEN
1212,1965,..,KIR
1213,1965,..,PRK
1214,1965,..,KOR
1215,1965,..,XKX
1216,1965,..,KWT
1217,1965,..,KGZ
1218,1965,..,LAO
1219,1965,..,LVA
1220,1965,..,LBN
1221,1965,..,LSO
1222,1965,..,LBR
1223,1965,..,LBY
1224,1965,..,LIE
1225,1965,..,LTU
1226,1965,..,LUX
1227,1965,..,MAC
1228,1965,..,MDG
1229,1965,..,MWI
1230,1965,..,MYS
1231,1965,..,MDV
1232,1965,..,MLI
1233,1965,..,MLT
1234,1965,..,MHL
1235,1965,..,MRT
1236,1965,..,MUS
1237,1965,..,MEX
1238,1965,..,FSM
1239,1965,..,MDA
1240,1965,..,MCO
1241,1965,..,MNG
1242,1965,..,MNE
1243,1965,..,MAR
1244,1965,..,MOZ
1245,1965,..,MMR
1246,1965,..,NAM
1247,1965,..,NRU
1248,1965,..,NPL
1249,1965,..,NLD
