,year,"Exports of goods, Free on board (FOB), US dollar","Imports of goods, Cost insurance freight (CIF), US dollar",export_share,country
183,1991,96030.6399337468,91033.6560630698,0.5133563271495755,Africa
184,1992,94378.8480409439,103780.012009829,0.47627871908811875,Africa
185,1993,87068.5487549481,96725.77247912,0.47372817707497855,Africa
186,1994,91215.9596453709,102292.063441291,0.4713807633935682,Africa
187,1995,101976.610869918,121694.419719245,0.4559223007168405,Africa
188,1996,115961.223253008,123983.134364557,0.4832838096482045,Africa
189,1997,119724.616427366,125011.227701591,0.48919935227910594,Africa
190,1998,99286.233714126,130446.293721645,0.4321818717720964,Africa
191,1999,109649.31466258,127567.018406433,0.4622334105075298,Africa
192,2000,150350.994072,126395.938739,0.54327971242478,Africa
193,2001,141459.676913,125718.25512,0.5294586863391393,Africa
194,2002,148141.298539,132303.922902,0.5282361303138337,Africa
195,2003,189044.670286,164876.085783,0.5341440620372773,Africa
196,2004,229759.928175,201437.290837,0.5328418599300054,Africa
197,2005,313614.715548,249291.04807,0.5571353782776787,Africa
198,2006,368468.472303,290749.222462,0.5589480913954423,Africa
199,2007,429367.511794,359053.216195,0.5445918613646475,Africa
200,2008,578938.648066,485404.038486,0.5439400818748569,Africa
201,2009,392714.403793,421820.936502,0.48213304489743897,Africa
202,2010,541205.007043,488810.723335,0.5254337298755486,Africa
203,2011,647678.563626,569904.948832,0.5319376921575566,Africa
204,2012,651015.475917,615260.717318,0.5141180726566674,Africa
205,2013,617860.073054,648238.943688,0.4880029641314419,Africa
206,2014,582096.831987,662254.070911,0.46779154548073215,Africa
207,2015,432252.895282,578490.54994,0.42765837099943776,Africa
208,2016,383135.103663,509285.53377,0.4293212052615318,Africa
209,2017,437788.890508,553063.95107,0.4418303830171104,Africa
210,2018,508347.13114,601798.054512,0.45791049469033407,Africa
211,2019,480547.739514,596520.826872,0.44616262558513964,Africa
212,2020,390358.98221,516095.2457924,0.43064389811524656,Africa
213,2021,563052.83159,618442.052668,0.4765596864548485,Africa
214,2022,695318.262579,718642.241105,0.49175225246206283,Africa
215,1981,273.720909090909,253.1067,0.519564473022286,ALB
216,1982,253.625068493152,321.1681,0.4412457948274548,ALB
217,1983,217.500994307954,241.5787,0.4737761155736344,ALB
218,1984,210.389168797872,251.793182472316,0.4552081407255644,ALB
219,1985,198.291667641756,260.99118623497,0.43174193412188333,ALB
220,1986,286.067840271458,253.274415191382,0.5304013126617847,ALB
221,1987,230.130638731725,245.121285522494,0.4842287363546262,ALB
222,1988,258.291597139183,317.645286046917,0.4484720542818967,ALB
223,1989,305.299897486807,387.254088272103,0.4408319116844808,ALB
224,1990,224.267474907148,423.135066957518,0.346411174508532,ALB
225,1991,171.206601319239,495.887789418239,0.25664524195739197,ALB
226,1992,114.108574907522,574.458561424158,0.16571888039186983,ALB
227,1993,122.465156154317,421.13018983466,0.22528735217832485,ALB
228,1994,141.476732307042,160.575615598689,0.4683848123941621,ALB
229,1995,201.83715849942,650.632433452899,0.23676757552979008,ALB
230,1996,210.539981674452,908.589323493784,0.18812837864414786,ALB
231,1997,141.300939181231,619.735368552396,0.18566911689407628,ALB
232,1998,206.488161097588,794.646824518699,0.20625406569971813,ALB
233,1999,275.349258331029,899.102879826568,0.23444910983173717,ALB
234,2000,256.221001,1093.379276,0.1898495468373411,ALB
235,2001,307.221341,1325.589707,0.18815486419957148,ALB
236,2002,338.843625,1494.42954,0.18482986140256952,ALB
237,2003,447.114889,1852.324974,0.1944451325709665,ALB
238,2004,604.409575,2294.12811,0.20852224144879453,ALB
239,2005,638.612869,2602.882267,0.19701182392889455,ALB
240,2006,748.519461,3005.121637,0.19941156904926874,ALB
241,2007,998.884092,4051.199095,0.19779557187718064,ALB
242,2008,1341.832959,5241.235687,0.20383092310837797,ALB
243,2009,1100.384076,4440.284934,0.19860130139771695,ALB
244,2010,1542.19374,4537.932767,0.2536450085741612,ALB
245,2011,1951.27053,5318.477522,0.2684096499689808,ALB
246,2012,1901.576806,4864.371861,0.2810510247106491,ALB
247,2013,2447.609347,5015.899899,0.32794350034627134,ALB
248,2014,2553.872842,5387.176104,0.32160396685206377,ALB
249,2015,2031.534573,4408.269751,0.31546526428277233,ALB
250,2016,1961.477334,4666.089101,0.295957400538679,ALB
251,2017,2463.201513,5670.492837,0.3028392028279253,ALB
252,2018,3099.404234,6406.219819,0.3260600478957318,ALB
253,2019,2985.007867,6483.079415,0.31527042137379396,ALB
254,2020,2716.277582,6022.684914,0.3108238058285861,ALB
255,2021,3681.100753,8099.539606,0.3124703446351935,ALB
256,2022,4310.142456,8400.920369,0.3390859218729414,ALB
257,1948,413.4,460.4,0.47310597390707254,DZA
258,1949,313.0,440.3,0.41550511084561265,DZA
259,1950,322.2,415.6,0.4367037137435619,DZA
260,1951,369.9,554.5,0.4001514495889225,DZA
261,1952,398.3,611.7,0.3943564356435644,DZA
262,1953,382.6,549.1,0.4106472040356338,DZA
263,1954,389.3,587.5,0.3985462735462736,DZA
264,1955,453.1,671.7,0.40282716927453766,DZA
265,1956,420.3,751.2,0.3587708066581306,DZA
266,1957,462.2,1025.6,0.31066003495093425,DZA
267,1958,480.0,1110.3,0.30182984342576874,DZA
268,1959,360.3,1118.5,0.24364349472545307,DZA
269,1960,392.3,1259.9,0.23744098777387726,DZA
270,1961,364.4,1010.6,0.2650181818181818,DZA
271,1964,,701.0,,DZA
272,1966,621.2,638.6,0.49309414192729,DZA
273,1967,723.2,635.5,0.5322734967248105,DZA
274,1968,830.6,807.3,0.5071127663471519,DZA
275,1969,929.7,994.3,0.48321205821205826,DZA
276,1970,1000.5,1242.7,0.4460146219686163,DZA
277,1971,852.41,1221.24,0.41106744146794294,DZA
278,1972,1280.81,1472.96,0.4651114653729251,DZA
279,1973,1885.78,2407.46,0.43924402083275105,DZA
280,1974,4684.85,4246.62,0.5245329156342685,DZA
281,1975,4699.46,6014.92,0.4386124068774861,DZA
282,1976,5331.89,5338.26,0.4997015037276889,DZA
283,1977,5792.17,7053.31,0.4509111376141647,DZA
284,1978,6266.39,8600.55,0.42149830429126645,DZA
285,1979,9863.13,8402.65,0.5399785829020167,DZA
286,1980,15621.25,10558.88,0.5966834389286838,DZA
287,1981,13296.01,11266.98,0.5413025857194096,DZA
288,1982,11475.88,10737.86,0.516611790720518,DZA
289,1983,13016.06,10395.43,0.5559688853635544,DZA
290,1984,13054.6222385007,10481.7474804797,0.5546574256935248,DZA
291,1985,12502.11,9843.54,0.5594874170140497,DZA
292,1986,7360.81,9228.07,0.4437195277800551,DZA
293,1987,8582.33,7042.27,0.5492831816494502,DZA
294,1988,8154.181,7462.509,0.5221452817466442,DZA
295,1989,8953.333,9225.549,0.4925128509002919,DZA
296,1990,11008.838,9679.131,0.5321372049619758,DZA
297,1991,11771.069,7683.286,0.6050608719744243,DZA
298,1992,11136.802,8647.869,0.5629005405245302,DZA
299,1993,10099.883,8761.206,0.535487797125606,DZA
300,1994,8591.748,9570.628,0.47305198394747466,DZA
301,1995,9356.681076,10782.4469,0.4646020963345806,DZA
302,1996,11099.194,9105.615,0.5493342698760477,DZA
303,1997,13730.6052313435,8692.34562781644,0.6123460430157633,DZA
304,1998,10025.2986213721,9403.61553341585,0.5159989148905434,DZA
305,1999,12740.0275408334,9172.86298867236,0.5813942037303989,DZA
306,2000,21953.69375,9012.785493,0.708950267730635,DZA
307,2001,18379.705236,9739.205535,0.6536421480079385,DZA
308,2002,18935.244632,11808.696469,0.6159016688782329,DZA
309,2003,29561.382641,14254.741905,0.674669039019305,DZA
310,2004,31159.679493,18156.618126,0.631833308609833,DZA
311,2005,46553.827721,19836.083125,0.7012184099627372,DZA
312,2006,55154.833235,21359.982352,0.7208386089918369,DZA
313,2007,59168.250719,27272.069976,0.6844982786189789,DZA
314,2008,79297.49865,39336.352803,0.6684221887663813,DZA
315,2009,45194.007158,39118.307305,0.5360309160749364,DZA
316,2010,57052.602545,40174.761209,0.5867957367367458,DZA
317,2011,73489.907676,47247.383986,0.6086761319918665,DZA
318,2012,71865.780603,50349.177936,0.5880276969538628,DZA
319,2013,65950.790097,54849.472531,0.5459490622143187,DZA
320,2014,59883.803996,56575.6351,0.514203094749894,DZA
321,2015,34563.343377,49725.081616,0.4100603775651333,DZA
322,2016,28960.146207,47777.615496,0.37739107271704314,DZA
323,2017,35146.051552,49666.991149,0.4143944189799195,DZA
324,2018,41168.251685,49220.174393,0.45545932672258477,DZA
325,2019,35312.211881,46975.014206,0.42913357953840103,DZA
326,2020,21925.247904,37411.587067,0.3695048432346558,DZA
327,2021,38434.843397,39434.241849,0.493582829123761,DZA
328,2022,60317.605944,40182.642323,0.6001737009022468,DZA
329,2000,3.858127,66.960062,0.05447932310158342,ASM
330,2001,89.639938,105.977005,0.45824219837644636,ASM
331,2002,31.304386,146.352519,0.17620697602493976,ASM
332,2003,9.265025,96.577803,0.08753569018393953,ASM
333,2004,6.647492,134.098667,0.047230361718077145,ASM
334,2005,13.971013,280.958394,0.0473707018303536,ASM
335,2006,77.407336,115.793266,0.40065784060031034,ASM
336,2007,67.904537,173.142456,0.28170663385956446,ASM
337,2008,63.659818,229.39088,0.2172314157054149,ASM
338,2009,22.012524,132.713628,0.14226763682457505,ASM
339,2010,26.937836,96.749879,0.217789098941637,ASM
340,2011,49.666246,247.952639,0.16687867774250953,ASM
341,2012,88.766729,254.444679,0.25863571819267733,ASM
342,2013,50.598624,271.384797,0.15714667495255913,ASM
343,2014,59.23078,239.456231,0.19830383585043143,ASM
344,2015,28.332753,173.075417,0.14067330535797035,ASM
345,2016,37.454818,214.486507,0.14866484488005294,ASM
346,2017,40.867814,117.342041,0.25831395901348875,ASM
347,2018,65.74579,140.459378,0.31883677134609933,ASM
348,2019,24.756114,171.76243,0.12597342467589218,ASM
349,2020,17.638873,126.262725,0.12257593553617104,ASM
350,2021,30.893122,139.620446,0.18117691373392647,ASM
351,2022,16.370321,217.424598,0.0700200033004139,ASM
352,1948,42.7,48.1,0.47026431718061673,AGO
353,1949,67.5,49.7,0.575938566552901,AGO
354,1950,74.5,55.7,0.5721966205837175,AGO
355,1951,109.3,74.4,0.5949918345127926,AGO
356,1952,94.3,89.9,0.511943539630836,AGO
357,1953,121.5,83.8,0.5918168533852898,AGO
358,1954,102.3,95.5,0.5171890798786652,AGO
359,1955,96.6,93.4,0.5084210526315789,AGO
360,1956,113.6,109.6,0.5089605734767025,AGO
361,1957,114.4,124.0,0.47986577181208057,AGO
362,1958,127.4,130.1,0.4947572815533981,AGO
363,1959,124.2,130.6,0.48744113029827313,AGO
364,1960,123.3,127.5,0.4916267942583732,AGO
365,1961,133.7,113.6,0.5406389001213101,AGO
366,1962,147.7,135.1,0.5222772277227723,AGO
367,1963,163.5,146.6,0.5272492744276039,AGO
368,1964,204.1,163.8,0.5547703180212015,AGO
369,1965,198.0,194.7,0.5042016806722689,AGO
370,1966,220.3,208.4,0.5138791695824586,AGO
371,1967,236.5,274.5,0.4628180039138943,AGO
372,1968,268.1,308.2,0.46520909248655223,AGO
373,1969,326.937,328.402,0.4988822578848505,AGO
374,1970,423.413,368.594,0.5346076486697718,AGO
375,1971,408.004,421.881,0.4916392030221055,AGO
376,1972,478.64,392.259,0.5495930067665711,AGO
377,1973,802.065,542.722,0.596425307502229,AGO
