,year,General government final consumption expenditure (% of GDP),country
783,1963,..,MAC
784,1963,16.5295946669499,MDG
785,1963,..,MWI
786,1963,15.4867256637168,MYS
787,1963,..,MDV
788,1963,..,MLI
789,1963,..,MLT
790,1963,..,MHL
791,1963,..,MRT
792,1963,..,MUS
793,1963,6.51042452830189,MEX
794,1963,..,FSM
795,1963,..,MDA
796,1963,..,MCO
797,1963,..,MNG
798,1963,..,MNE
799,1963,12.716590966635,MAR
800,1963,..,MOZ
801,1963,..,MMR
802,1963,..,NAM
803,1963,..,NRU
804,1963,..,NPL
805,1963,..,NLD
806,1963,..,NCL
807,1963,..,NZL
808,1963,7.35275415634402,NIC
809,1963,7.55465771930379,NER
810,1963,..,NGA
811,1963,..,MKD
812,1963,..,MNP
813,1963,..,NOR
814,1963,..,OMN
815,1963,10.3165245782695,PAK
816,1963,..,PLW
817,1963,11.1016630821497,PAN
818,1963,31.1282467532468,PNG
819,1963,6.9461672041677,PRY
820,1963,8.95612220878794,PER
821,1963,..,PHL
822,1963,..,POL
823,1963,..,PRT
824,1963,13.4127528282482,PRI
825,1963,..,QAT
826,1963,..,ROU
827,1963,..,RUS
828,1963,10.9374984375,RWA
829,1963,..,WSM
830,1963,..,SMR
831,1963,..,STP
832,1963,..,SAU
833,1963,5.27467670631651,SEN
834,1963,..,SRB
835,1963,..,SYC
836,1963,..,SLE
837,1963,9.85760056959772,SGP
838,1963,..,SXM
839,1963,..,SVK
840,1963,..,SVN
841,1963,..,SLB
842,1963,8.37488766112959,SOM
843,1963,8.8868824970979,ZAF
844,1963,..,SSD
845,1963,..,ESP
846,1963,13.6838455567597,LKA
847,1963,..,KNA
848,1963,..,LCA
849,1963,..,MAF
850,1963,..,VCT
851,1963,12.624867162593,SDN
852,1963,..,SUR
853,1963,16.2924284430673,SWE
854,1963,..,CHE
855,1963,12.5303434533167,SYR
856,1963,..,TJK
857,1963,..,TZA
858,1963,9.38890691156436,THA
859,1963,..,TLS
860,1963,8.95061728371401,TGO
861,1963,..,TON
862,1963,..,TTO
863,1963,..,TUN
864,1963,9.44206008583691,TUR
865,1963,..,TKM
866,1963,..,TCA
867,1963,..,TUV
868,1963,8.69731217189102,UGA
869,1963,..,UKR
870,1963,..,ARE
871,1963,17.2147598253275,GBR
872,1963,16.0961900202767,USA
873,1963,12.8755364806867,URY
874,1963,..,UZB
875,1963,..,VUT
876,1963,12.053998632946,VEN
877,1963,..,VNM
878,1963,..,VIR
879,1963,..,PSE
880,1963,..,YEM
881,1963,..,ZMB
882,1963,12.8663988470319,ZWE
886,1963,,Data from database: World Development Indicators
887,1963,,Last Updated: 10/07/2025
888,1964,..,AFG
889,1964,..,ALB
890,1964,17.0481564280519,DZA
891,1964,..,ASM
892,1964,..,AND
893,1964,..,AGO
894,1964,..,ATG
895,1964,7.22902581011462,ARG
896,1964,..,ARM
897,1964,..,ABW
898,1964,11.3688767587408,AUS
899,1964,..,AUT
900,1964,..,AZE
901,1964,..,BHS
902,1964,..,BHR
903,1964,8.3605179907656,BGD
904,1964,..,BRB
905,1964,..,BLR
906,1964,..,BEL
907,1964,..,BLZ
908,1964,9.13581731876019,BEN
909,1964,..,BMU
910,1964,..,BTN
911,1964,9.50023209036051,BOL
912,1964,..,BIH
913,1964,23.510119029672,BWA
914,1964,11.851968516625,BRA
915,1964,..,VGB
916,1964,..,BRN
917,1964,..,BGR
918,1964,6.98224993873381,BFA
919,1964,5.36912735204978,BDI
920,1964,..,CPV
921,1964,..,KHM
922,1964,..,CMR
923,1964,16.0220845565781,CAN
924,1964,..,CYM
925,1964,22.4137898186687,CAF
926,1964,13.5831153689458,TCD
927,1964,..,Channel Islands
928,1964,9.38332486221785,CHL
929,1964,12.8539417396618,CHN
930,1964,6.64865393236273,COL
931,1964,..,COM
932,1964,..,COD
933,1964,14.5582362008466,COG
934,1964,12.6655936294447,CRI
935,1964,10.0301526079251,CIV
936,1964,..,HRV
937,1964,..,CUB
938,1964,..,CUW
939,1964,..,CYP
940,1964,..,CZE
941,1964,..,DNK
942,1964,..,DJI
943,1964,..,DMA
944,1964,15.6103759370491,DOM
945,1964,9.21130457030793,ECU
946,1964,19.6239316239316,EGY
947,1964,..,SLV
948,1964,..,GNQ
949,1964,..,ERI
950,1964,..,EST
951,1964,..,SWZ
952,1964,..,ETH
953,1964,..,FRO
954,1964,..,FJI
955,1964,..,FIN
956,1964,15.99575905408,FRA
957,1964,..,PYF
958,1964,11.5281060529803,GAB
959,1964,..,GMB
960,1964,..,GEO
961,1964,..,DEU
962,1964,11.7313915857605,GHA
963,1964,..,GIB
964,1964,12.1239020582414,GRC
965,1964,..,GRL
966,1964,..,GRD
967,1964,..,GUM
968,1964,6.89708312655555,GTM
969,1964,..,GIN
970,1964,..,GNB
971,1964,13.9562743336328,GUY
972,1964,..,HTI
973,1964,11.1597374179431,HND
974,1964,5.42563930013459,HKG
975,1964,..,HUN
976,1964,..,ISL
977,1964,8.04252293333864,IND
978,1964,7.12413261372398,IDN
979,1964,12.5028635781442,IRN
980,1964,..,IRQ
981,1964,..,IRL
982,1964,..,IMN
983,1964,..,ISR
984,1964,..,ITA
985,1964,8.11093177904821,JAM
986,1964,..,JPN
987,1964,..,JOR
988,1964,..,KAZ
989,1964,13.849176662943,KEN
990,1964,..,KIR
991,1964,..,PRK
992,1964,8.20602947140733,KOR
993,1964,..,XKX
994,1964,..,KWT
995,1964,..,KGZ
996,1964,..,LAO
997,1964,..,LVA
998,1964,..,LBN
999,1964,15.3638814016173,LSO
1000,1964,..,LBR
1001,1964,..,LBY
1002,1964,..,LIE
1003,1964,..,LTU
1004,1964,..,LUX
1005,1964,..,MAC
